127.0.0.1 - - [01/Feb/2023:12:47:05 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [01/Feb/2023:12:47:05 +0900] "GET /step01_htmlProject1/html01_h.html HTTP/1.1" 200 318
0:0:0:0:0:0:0:1 - - [01/Feb/2023:12:47:05 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Feb/2023:14:05:59 +0900] "GET /step01_htmlProject1/html01_h.html HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [01/Feb/2023:14:06:01 +0900] "GET /step01_htmlProject1/html01_h.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2023:14:12:58 +0900] "GET /step01_htmlProject1/html02_nbsp.html HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [01/Feb/2023:14:13:19 +0900] "GET /step01_htmlProject1/html02_nbsp.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2023:14:13:20 +0900] "GET /step01_htmlProject1/html02_nbsp.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2023:14:13:21 +0900] "GET /step01_htmlProject1/html02_nbsp.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2023:14:13:22 +0900] "GET /step01_htmlProject1/html02_nbsp.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2023:14:13:22 +0900] "GET /step01_htmlProject1/html02_nbsp.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2023:14:13:22 +0900] "GET /step01_htmlProject1/html02_nbsp.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2023:14:13:23 +0900] "GET /step01_htmlProject1/html02_nbsp.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2023:14:13:28 +0900] "GET /step01_htmlProject1/html02_nbsp.html HTTP/1.1" 200 258
0:0:0:0:0:0:0:1 - - [01/Feb/2023:14:14:15 +0900] "GET /step01_htmlProject1/html02_nbsp.html HTTP/1.1" 200 276
0:0:0:0:0:0:0:1 - - [01/Feb/2023:14:14:15 +0900] "GET /step01_htmlProject1/html02_nbsp.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2023:14:14:16 +0900] "GET /step01_htmlProject1/html02_nbsp.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2023:14:14:16 +0900] "GET /step01_htmlProject1/html02_nbsp.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2023:14:14:22 +0900] "GET /step01_htmlProject1/html02_nbsp.html HTTP/1.1" 200 274
0:0:0:0:0:0:0:1 - - [01/Feb/2023:14:15:09 +0900] "GET /step01_htmlProject1/html02_nbsp.html HTTP/1.1" 200 286
0:0:0:0:0:0:0:1 - - [01/Feb/2023:14:16:49 +0900] "GET /step01_htmlProject1/html02_nbsp.html HTTP/1.1" 200 422
0:0:0:0:0:0:0:1 - - [01/Feb/2023:14:20:20 +0900] "GET /step01_htmlProject1/html02_nbsp.html HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [01/Feb/2023:14:23:18 +0900] "GET /step01_htmlProject1/html03_pre.html HTTP/1.1" 200 344
0:0:0:0:0:0:0:1 - - [01/Feb/2023:14:23:21 +0900] "GET /step01_htmlProject1/html02_nbsp.html HTTP/1.1" 200 420
0:0:0:0:0:0:0:1 - - [01/Feb/2023:14:24:21 +0900] "GET /step01_htmlProject1/html03_pre.html HTTP/1.1" 200 324
0:0:0:0:0:0:0:1 - - [01/Feb/2023:14:25:06 +0900] "GET /step01_htmlProject1/html03_pre.html HTTP/1.1" 200 327
